treated,control
79487010,48255010
80902020,64609010
37316010,77883020
33833010,35380010
60458010,78320010
30423020,36770010
53407020,82472010
13238010,77000010
78965010,46558010
53478010,76598020
58098020,41027010
16956010,36250010
11379020,22420010
12502010,54798020
49489010,21201010
77566020,40277020
80216010,19154010
22182010,79858010
54773010,45326010
11841010,85814010
47535010,36044010
37106010,47578020
14224010,37735010
60771010,38938020
12094010,24524020
40632010,50997010
59150010,54831020
39538020,76821010
72365010,65428010
74496020,52854020
20081010,49224010
25344020,22764020
79557020,10059020
79662010,75911020
45367020,45695010
18259010,51680020
37871020,19625020
35901020,37594010
14226010,44041010
12319010,53354020
14223010,61093010
20842010,71347020
42874010,35320010
35444020,31929020
43461010,92596020
44390020,39430020
33349010,75932020
36967010,37215010
56515010,33888010
59465010,92623020
60079020,40877010
41116020,49209010
81879010,21675020
84199020,86286010
42248010,44969010
18243010,38333010
58184010,59961010
65250010,34836020
61249010,76648010
58384020,45570010
16602010,77204010
78810010,47378010
75881010,36203010
77360010,54053020
49742010,37807020
42539010,37082010
57440010,72214010
73039010,36495010
14129020,48475020
15200010,81053010
50606010,83667010
83705020,13784010
83313010,60529010
41544010,41342020
86081020,61203020
78625010,43627010
88329010,56362010
87394010,45231010
81333020,30875010
83032020,90636010
17862010,33320020
81380010,14063010
24563010,92329010
56489020,77866010
44363020,43958020
21440010,24753020
47680010,54387020
58592010,12690010
56651010,39316010
56282010,37865020
79638020,75873010
24684010,41722010
32142010,76229020
81343010,90647010
58105020,87447020
33073020,72214020
17492010,12218010
60965010,74948020
48483020,84794020
22150010,20190020
56675010,31789020
38892010,84601010
81879020,81756020
56067010,54129010
50665020,47067020
54336010,16870010
77614010,36148010
81915020,60299010
57253010,48882020
21316020,72754010
15889020,85002010
58589020,32312020
19806020,16747020
48625020,12574020
51069010,77622020
18304010,36804010
70989010,45188010
14455010,87004010
35862010,36413010
48988020,13965020
52946020,52583010
23639010,50784020
78216010,11620010
76708010,75971010
81202010,85892010
54963010,31919010
73904020,22515010
80362010,85723020
78435010,71265010
57296010,84966010
39649020,53087010
50158020,84177010
47909010,10671010
48360010,23197010
58501010,76613010
48068010,84052010
15236010,75406010
16116010,21448010
31912020,25605010
52749010,24769010
49005010,82932010
22033020,51538010
72504020,21253010
33513020,39969020
23079010,14548010
51824010,83902010
41229010,77532010
66020010,20561010
15148010,34524020
58020010,79076010
39703010,21190010
96075010,76033010
80116020,78203010
14072010,48984020
59403010,21332010
79218010,37958010
42546010,77534010
47255010,15707010
38705010,40398010
44101010,23734010
85604010,76870010
31766020,45399010
10114010,52572010
13860010,48479010
71861010,40376010
86797010,52805010
19375010,43767020
66010020,47672010
34222020,36787020
61077020,52441010
50243020,76081010
14224020,85577020
77862010,34126010
23015010,75324020
32727010,76438020
47136020,45509010
59179010,75932010
51522020,205265020
75925010,84809020
41423010,32157020
61054020,17468010
12424010,79002020
41977010,34034010
59930010,82223020
83400010,39199010
10001010,51966010
80387020,86508010
60965020,86421010
20217010,14782010
49385010,50873010
60723020,32845010
75035010,53596010
45168010,23640010
14215020,32700020
79289010,32372020
39275010,56588010
15133010,73149010
81420010,71012010
42277010,36826020
32361010,80175010
21368010,41350020
13598010,44358010
41953010,16475010
57605010,80655010
65196020,15995010
22813010,60179010
25138010,38284010
57960010,32699010
11856010,55831020
64536020,11347020
31883020,14624010
60691020,72808010
45997010,77786020
19333010,60330010
30769020,14539010
78341010,22674010
85774020,33302020
20405010,40219010
61352010,50861020
36230020,39231010
74034010,13318020
86506020,39556010
40928010,47679020
58881020,22026010
48483010,38298020
57760010,12507010
86203010,57624010
59467010,39348020
50945010,77559010
71408010,18808020
35840010,74379010
13257010,43231010
44417020,41463010
49554010,47602020
33748010,45500010
24577010,84418020
19341010,60317010
50825010,84463010
78465020,32658010
82553010,45225020
84332020,82168020
37933010,12274020
22574020,21448020
18360010,44817020
16015010,21928010
48621020,35882010
16211010,83974010
16054020,33995010
59035020,54498010
36476020,51518010
12052010,41018010
76111020,37777010
206198020,74265010
82096020,34050010
83922010,33941010
59817010,14618010
53050020,60360020
34135010,35425010
58392010,44095020
10818010,76645020
42355020,53347020
20819010,16471010
78309010,79416010
62753010,77751010
57338010,57099010
17980020,45984020
24838010,52188010
85169010,84101010
22061020,15536010
95275010,20306020
59256010,35907010
59210020,72001020
64391010,56061010
23258010,39755020
82907020,48505010
76178010,39183020
37352020,86454010
59454010,45870020
54290020,77392020
13062010,14063020
57246010,48623020
60612010,44095010
13286020,16024010
60548010,40311010
202830020,32481010
21210020,37048010
52904020,13631020
44224010,53045020
45709010,49378010
38932020,38520010
78717010,11071020
16822020,76539010
79505020,56010020
